Name,Longitude,Latitude
E01004835,-2.47863,53.567385
E01004836,-2.472733,53.568836
E01004837,-2.477254,53.577732
E01004838,-2.46346,53.566791
E01004839,-2.465996,53.563543
E01004840,-2.480855,53.590816
E01004841,-2.476469,53.594302
E01004842,-2.469263,53.58595
E01004843,-2.466395,53.584018
E01004844,-2.494966,53.577275
E01004845,-2.461005,53.579227
E01004846,-2.432321,53.561271
E01004847,-2.437785,53.56261
E01004848,-2.432098,53.568676
E01004849,-2.442718,53.573784
E01004850,-2.449449,53.571326
E01004851,-2.442568,53.570158
E01004852,-2.438315,53.567124
E01004853,-2.446318,53.56806
E01004854,-2.442741,53.565801
E01004855,-2.392086,53.551286
E01004856,-2.41036,53.554992
E01004857,-2.399657,53.55408
E01004858,-2.407167,53.549018
E01004859,-2.392952,53.548759
E01004860,-2.402597,53.545203
E01004861,-2.414698,53.543284
E01004862,-2.409059,53.544285
E01004863,-2.405385,53.540544
E01004864,-2.450242,53.594992
E01004865,-2.444732,53.594192
E01004866,-2.442341,53.588
E01004867,-2.446972,53.591753
E01004868,-2.453003,53.582763
E01004869,-2.449164,53.586169
E01004870,-2.44758,53.581942
E01004871,-2.447213,53.576684
E01004872,-2.415596,53.548671
E01004873,-2.418248,53.551902
E01004874,-2.434122,53.545789
E01004875,-2.42671,53.548633
E01004876,-2.427091,53.544973
E01004877,-2.440856,53.558159
E01004878,-2.444715,53.559395
E01004879,-2.43342,53.558254
E01004880,-2.422027,53.553908
E01004881,-2.550648,53.601457
E01004882,-2.54286,53.596052
E01004883,-2.539588,53.593509
E01004884,-2.528554,53.599503
E01004885,-2.516307,53.58575
E01004886,-2.529619,53.58925
E01004887,-2.525271,53.590213
E01004888,-2.541666,53.605073
E01004889,-2.547782,53.604986
E01004890,-2.543824,53.600967
E01004891,-2.504962,53.550986
E01004892,-2.472072,53.545742
E01004893,-2.510377,53.548057
E01004894,-2.519027,53.551274
E01004895,-2.517176,53.542976
E01004896,-2.471064,53.536705
E01004897,-2.489497,53.572811
E01004899,-2.482162,53.558504
E01004900,-2.467995,53.559428
E01004901,-2.514718,53.554699
E01004902,-2.395216,53.543992
E01004903,-2.367511,53.542828
E01004904,-2.362182,53.541941
E01004905,-2.380916,53.543278
E01004906,-2.388219,53.545807
