Name,masterpc,Latitude,Longitude
S34000431,G2 2EN,55.864257,-4.2581442
S34000432,G2 1HG,55.863902,-4.2549592
S34000433,G2 2BX,55.863686,-4.2569284
S34000434,G1 3PL,55.860205,-4.2551444
S34000435,G1 3HL,55.859302,-4.2548844
S34000436,G1 3JL,55.859422,-4.2542361
S34000437,G2 4PH,55.863796,-4.269992
S34000438,G2 4NB,55.864543,-4.2665674
S34000439,G2 8PD,55.857887,-4.2648535
S34000440,G2 8DU,55.857088,-4.2604446
S34000441,G2 8LY,55.859024,-4.2616917
S34000442,G2 8JD,55.857624,-4.2615784
S34000443,G4 0LJ,55.866945,-4.2467924
S34000444,G4 0EE,55.867891,-4.2412528
S34000445,G2 3NW,55.865421,-4.2520106
S34000446,G5 9JH,55.853687,-4.256716
S34000447,G5 9YN,55.852228,-4.2495376
S34000448,G31 5ES,55.852561,-4.1932854
S34000449,G41 1AA,55.848782,-4.2882234
S34000450,G1 2DH,55.861075,-4.2518229
S34000451,G1 3AH,55.859804,-4.2524845
S34000452,G1 3EN,55.859194,-4.2528966
S34000453,G2 8BJ,55.85765,-4.2528072
S34000454,G1 3AJ,55.859861,-4.2532868
S34000455,G1 4DB,55.857764,-4.2559298
S34000456,G1 4QD,55.857874,-4.2577419
S34000457,G1 4BW,55.857405,-4.2544389
S34000458,G1 4HS,55.855977,-4.2514001
S34000459,G2 8BG,55.858652,-4.2535843
S34000460,G1 2DT,55.860818,-4.2530865
S34000461,PH33 6EN,56.820451,-5.1061767
S34000462,IV1 1ES,57.479375,-4.2279183
S34000463,IV1 1LU,57.48041,-4.2267803
S34000464,IV1 1DA,57.47965,-4.2260501
S34000465,IV2 7GE,57.481069,-4.181362
S34000466,IV1 1TR,57.491102,-4.2247949
S34000467,IV2 3ED,57.474014,-4.1882132
S34000468,IV15 9ST,57.595894,-4.4307439
S34000469,PH33 6AN,56.822168,-5.1057944
S34000470,IV1 1PG,57.479077,-4.2249476
S34000471,IV1 1PQ,57.479183,-4.2255379
S34000472,IV1 1PX,57.478703,-4.2257589
S34000473,IV1 1DR,57.478585,-4.2268693
S34000474,IV1 1HT,57.47811,-4.2237378
S34000475,IV1 1JQ,57.477618,-4.2240916
S34000476,IV1 1DY,57.477659,-4.2258622
S34000477,PA15 1LB,55.950552,-4.7610621
S34000478,PA15 1LR,55.953593,-4.7629289
S34000479,PA15 1PX,55.95124,-4.7572182
S34000480,PA15 1DT,55.944972,-4.7388328
S34000481,PA15 1EL,55.945641,-4.7503648
S34000482,PA15 1HU,55.94728,-4.7538449
S34000483,PA15 1BT,55.947498,-4.7553342
S34000484,PA15 1RH,55.948641,-4.7585071
S34000485,PA15 1RP,55.949232,-4.7602151
S34000486,PA15 2UL,55.938871,-4.716029
S34000487,PA15 2UZ,55.940101,-4.7205355
S34000488,EH22 4QN,55.86142,-3.0658253
S34000489,EH26 0PL,55.858016,-3.1938282
S34000490,EH25 9RE,55.867937,-3.1956028
S34000491,EH26 0PY,55.85799,-3.1992753
S34000492,EH22 3NU,55.883484,-3.0797467
S34000493,EH20 9LZ,55.87404,-3.1644802
S34000494,EH20 9QH,55.876828,-3.1680002
S34000495,EH20 9PW,55.884752,-3.1624668
S34000496,AB55 5EY,57.542022,-2.948207
S34000497,AB55 5ES,57.544177,-2.9471102
S34000498,IV30 1BG,57.647736,-3.3168989
S34000499,IV30 1BS,57.648319,-3.313569
S34000500,IV30 1JZ,57.647899,-3.3150785
S34000501,IV30 1BU,57.648785,-3.3128318
S34000502,IV30 6AH,57.643875,-3.2923496
S34000503,IV30 1UL,57.649928,-3.3178161
S34000504,IV30 1HX,57.647812,-3.2860054
S34000505,IV30 4BT,57.652534,-3.3012372
S34000506,IV30 1XE,57.649379,-3.2926793
S34000507,IV30 6YQ,57.640067,-3.3140414
S34000508,KA12 8JU,55.599238,-4.6748928
S34000509,KA12 8JJ,55.6024,-4.6716945
S34000510,KA21 5HQ,55.633401,-4.7860359
S34000511,KA11 5DE,55.598807,-4.6392068
S34000512,KA24 5JR,55.719116,-4.719283
S34000513,G33 6HZ,55.893818,-4.1352366
S34000514,ML6 6DB,55.865795,-3.978306
S34000515,ML6 6BN,55.865412,-3.9809075
S34000516,ML6 6AL,55.866678,-3.9770244
S34000517,ML4 1AW,55.81945,-4.0164342
S34000518,ML4 1RJ,55.818298,-4.0225839
S34000519,ML5 4EF,55.854845,-4.0107103
S34000520,ML1 5RX,55.830614,-3.9534146
S34000521,ML1 4XL,55.831859,-3.9939551
S34000522,ML1 4WQ,55.835079,-3.9788056
S34000523,ML1 4XJ,55.827732,-3.9796618
S34000524,ML1 1PF,55.789251,-3.9857159
S34000525,ML1 1PR,55.790892,-3.985943
S34000526,ML1 1BN,55.791212,-3.9933765
S34000527,ML1 1JJ,55.791116,-3.9920637
S34000528,G67 1JW,55.948335,-3.9869186
S34000529,G67 2AX,55.939751,-3.9831324
S34000530,G67 2XX,55.936511,-3.9878661
S34000531,G67 2UH,55.945958,-3.9748979
S34000532,G67 2TT,55.931709,-3.9880364
S34000533,G67 3EN,55.970754,-3.9573323
S34000534,G68 0BJ,55.967786,-3.9687835
S34000535,G68 0LG,55.975845,-3.9604262
S34000536,G68 0EP,55.969802,-3.9758566
S34000537,G68 0FQ,55.972249,-3.9656288
S34000538,G71 5PP,55.842753,-4.0705414
S34000539,G71 5PW,55.83673,-4.0717064
S34000540,G71 5PD,55.835663,-4.066204
S34000541,ML5 3BJ,55.861561,-4.024209
S34000542,ML5 3AD,55.861215,-4.0277705
S34000543,ML5 3SQ,55.857422,-4.0223479
S34000544,ML1 1TP,55.784742,-3.9833015
S34000545,ML1 2UG,55.78259,-3.9780251
S34000546,ML4 3NR,55.822027,-4.0307594
S34000547,ML4 3NP,55.824366,-4.0311846
S34000548,ML4 3LX,55.826221,-4.0461612
S34000549,ML4 3NN,55.8307,-4.0405045
S34000550,ML4 3PN,55.822264,-4.0463206
S34000551,ML4 3PB,55.835239,-4.0388579
S34000552,ML4 3HN,55.824129,-4.0514156
S34000553,ML4 3NJ,55.831708,-4.0372041
S34000554,ML4 3LP,55.825761,-4.0419063
S34000555,ML4 3NY,55.829338,-4.0321145
S34000556,ML2 0EG,55.77017,-3.9453835
S34000557,G68 9HY,55.930014,-4.0546238
S34000558,G68 9HN,55.928494,-4.0509256
S34000559,KW15 1GR,58.987886,-2.9746639
S34000560,KW15 1GP,58.988356,-2.9741725
S34000561,KW15 1GG,58.993607,-2.9745819
