Name,masterpc,Latitude,Longitude
S00112204,G3 6NZ,55.866984,-4.2652872
S00106477,EH30 9XT,55.986189,-3.4079995
S00110650,KY6 2ED,56.193305,-3.1891871
S00109887,KY4 9AS,56.113542,-3.3501517
S00122213,KA22 7HX,55.655844,-4.807823
S00099513,DD4 8HU,56.478748,-2.9325156
S00104295,EH6 8BD,55.96898,-3.1588233
S00112550,G12 8RQ,55.876595,-4.2879414
S00120856,EH20 9JG,55.876793,-3.161222
S00107615,EH17 7TB,55.9143,-3.1477358
S00111994,KY7 4TS,56.175562,-3.1672311
S00111519,KY11 8ER,56.073161,-3.4119571
S00097756,DG12 6LS,54.991401,-3.2477974
S00097748,DG12 6DZ,54.986856,-3.257096
S00102374,EH32 0PY,56.007627,-2.8755223
S00097647,DG7 1HS,54.941085,-3.9268183
S00118092,IV27 4UN,58.491446,-4.721588
S00118699,IV12 4RS,57.585466,-3.8839781
S00111724,KY9 1ER,56.197645,-2.8184111
S00128694,PA3 3RH,55.851742,-4.4977825
S00102970,G46 6AY,55.809805,-4.2919518
S00095321,TD1 2AT,55.614428,-2.795135
S00102573,EH32 0TD,55.968335,-2.9495972
S00115194,G45 0BD,55.811051,-4.2171875
S00096037,FK13 6EE,56.155903,-3.7463744
S00124014,ML1 4PB,55.817024,-3.9687109
S00107304,EH11 1UJ,55.934846,-3.2327045
S00128570,PA2 0BF,55.829656,-4.4662648
S00129347,KA7 2NF,55.44961,-4.622098
S00133152,FK8 2PT,56.109359,-3.9490539
S00131216,ML8 5AR,55.729109,-3.8433606
S00104992,EH10 5DL,55.932998,-3.2170068
S00099262,DD4 0JF,56.487212,-2.9142756
S00089000,AB11 6UQ,57.137072,-2.1107944
S00115308,G51 2RX,55.854741,-4.303146
S00121556,AB56 1LQ,57.678148,-2.9578461
S00110283,KY4 0BD,56.141505,-3.3834005
S00109489,KY11 8RS,56.059628,-3.4175009
S00096712,G81 1DE,55.895808,-4.3892358
S00101296,G62 8NJ,55.948272,-4.3190609
S00097909,DG2 7SW,55.064944,-3.6150231
S00098167,DG1 4XP,55.061529,-3.5717627
S00094137,G82 5ES,55.963022,-4.6454502
S00105525,EH12 8LZ,55.942565,-3.3160797
S00126521,PH1 2AG,56.399152,-3.4781059
S00115370,G51 4GX,55.854232,-4.3353599
S00116085,G4 0PW,55.866647,-4.2409574
S00108226,FK5 3EL,56.01862,-3.8283338
S00110456,KY8 2JP,56.190228,-3.031531
S00122911,KA11 4EE,55.612193,-4.6059467
S00124667,ML7 4NQ,55.841578,-3.873101
S00125513,ML5 4BF,55.843163,-4.0051556
S00096917,G81 6LN,55.928821,-4.4145294
S00119508,IV2 7GS,57.49754,-4.1143528
S00110738,KY7 4JX,56.193763,-3.1703624
S00098222,DG6 4XE,54.815469,-4.0442547
S00125424,ML6 9XD,55.853732,-3.9779006
S00100883,G66 8AF,55.962314,-4.1323272
S00098145,DG4 6RR,55.382074,-3.9984702
S00133595,FK7 7ET,56.104138,-3.8712358
S00092591,AB35 5TB,57.034385,-3.2189446
S00089920,AB16 6XY,57.153962,-2.1519039
S00089044,AB11 8JA,57.130573,-2.0934301
S00091330,AB30 1RA,56.803765,-2.5511468
S00090277,AB21 7BQ,57.207857,-2.186987
S00119295,IV4 7AQ,57.470864,-4.52674
S00119342,IV7 8LR,57.670491,-4.1763632
S00107079,EH6 7BG,55.974845,-3.1667544
S00103637,EH4 2DU,55.9572,-3.2319735
S00132604,ML9 1UR,55.747298,-3.9846829
S00094933,TD7 5NF,55.516066,-3.0540623
S00132192,G71 8RT,55.801286,-4.0625633
S00125648,ML2 9AW,55.785791,-3.8723361
S00125582,ML1 2PE,55.77241,-3.959892
S00096513,G82 3AU,55.956208,-4.5535025
S00101521,G66 8DW,55.961008,-4.1593157
S00113011,G14 0YS,55.882746,-4.3642557
S00092835,AB42 2EF,57.495692,-1.8011518
S00090793,AB16 7EH,57.17104,-2.1650713
S00128394,PA8 7BW,55.896716,-4.4318891
S00117332,G43 1SH,55.827096,-4.2944379
S00090244,AB12 3HF,57.105284,-2.0841881
S00127652,PA1 1PU,55.845566,-4.4090593
S00129229,KA26 9BQ,55.238324,-4.8558648
S00133483,FK8 3JY,56.150829,-4.2604243
